"Country","Q57","Q58","Q59","Q60","Q61","Q62","Q63","Q64","Q65","Q66","Q67","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q75","Q76","Q77","Q78","Q79","Q80","Q81","Q82","Q83","Q84","Q85","Q86","Q87","Q88","Q89","GDP","Life_expectancy","Education","Urbanicity","Freedom_Score","Deaths_million","Vaccination_rate","Excess_per_million"
"Colombia",1.04539473684211,3.54605263157895,2.35263157894737,2.54342105263158,1.69934210526316,2.0875,1.92105263157895,2.81381578947368,2.45460526315789,2.01776315789474,2.04013157894737,1.89276315789474,2.16710526315789,1.90986842105263,1.88289473684211,1.6953947368421,1.69276315789474,1.78684210526316,2.6714944042133,1.89276315789474,2.23947368421053,2.22828947368421,2.55657894736842,2.59144736842105,2.4625,1.92671009771987,2.22359796067007,2.0604929051531,2.07749627421759,1.97094430992736,2.09887640449438,2.42695836273818,2.17283950617284,6.43650921529527,76.752,"8.64303","81.104",66,2735.10688123983,85,3175.8534245855
"Cyprus",1.08020833333333,3.86934673366834,2.93061224489796,2.98580121703854,1.75357873210634,2.10991379310345,2.09687836383208,2.66252587991718,2.8453500522466,2.24358974358974,2.32851239669422,2.21553610503282,2.68852459016393,2.58848167539267,2.29109947643979,1.88016967126193,2.13742071881607,2.41361256544503,2.78714436248683,2.32578209277238,2.22197055492639,1.92647058823529,2.57303370786517,2.64335664335664,2.63806380638064,2.33117583603021,2.2021978021978,2.01833740831296,2.39242053789731,1.96394230769231,2.0359355638166,2.51715976331361,2.17609254498715,29.42,81.397,"12.361526","66.805",94,1005.20340586566,75,806.036315139898
"Czechia",1.3727959697733,3.59899749373434,2.89157631359466,3.15525876460768,2.24351464435146,2.40438596491228,2.34438775510204,2.16173913043478,2.52014010507881,2.31623212783852,2.49621530698066,2.4853072128228,2.79865771812081,2.65335598980459,2.1506734006734,1.9728813559322,2.22269263336156,2.55217391304348,2.97316017316017,2.53299492385787,2.53014184397163,2.68549747048904,2.41988003427592,2.48566308243728,2.6,2.40800681431005,2.56014047410009,2.50046168051708,2.60258780036969,2.49170305676856,2.56610470275067,2.54027149321267,2.47203791469194,23.6648478631108,79.2292682926829,"12.86931","73.921",91,3948.0448023532,65,3470.59000924621
"Germany",1.45951417004049,3.83125410374261,2.94156706507304,3.20937912813738,2.19459459459459,2.60502958579882,2.63195950831526,2.23691460055096,2.58777540867093,2.24966622162884,2.20267558528428,2.47485207100592,3.09325396825397,2.91937669376694,2.3766846361186,2.09165526675787,2.37285812200137,2.67094594594595,3.02554470323065,2.87374076561451,2.07054794520548,2.14656895403065,2.72525951557093,2.78112609040444,2.72600834492351,2.42094313453537,2.45675482487491,2.13919129082426,2.69201520912548,2.45814648729447,2.12828438948995,2.79781818181818,2.32412672623883,46.8051384334439,81.2926829268293,"14.16666","77.376",94,1926.83630757947,78,1461.03922214205
"Ecuador",1.05862361937128,3.43238731218698,2.24540901502504,2.34307178631052,1.47201336675021,1.85654008438819,1.73564189189189,3.13105175292154,2.67679324894515,2.1986531986532,2.29915966386555,2.04177323103154,2.55713094245204,2.28535139712108,2.0885328836425,1.69101595298069,1.83193277310924,1.65648854961832,2.96231155778894,2.17740585774059,2.45193929173693,2.54773869346734,2.7327731092437,2.7901023890785,2.77655986509275,2.23084291187739,2.33304042179262,2.21619217081851,2.2627345844504,2.12355212355212,2.26396396396396,2.74551665243382,2.48651000870322,6.23325816692363,77.297,"8.800053","63.986",63,1996.55574690295,84,4492.41865801503
"Ethiopia",1.11908646003263,3.87235772357724,3.09682668836452,2.71102040816326,2.33442088091354,2.41980360065466,1.94416243654822,3.61757526444264,3.06338615512927,2.28789323164919,2.45004344048653,2.49421965317919,2.60197368421053,2.73671096345515,2.80658436213992,2.01084990958409,2.48761904761905,2.5896180215475,2.86348122866894,2.59420289855072,2.69928186714542,3.51687242798354,2.85178727114211,2.85818181818182,2.94982078853047,2.63450624290579,2.68191964285714,2.25776397515528,2.44214328330272,2.25420168067227,2.89600967351874,3.00944510035419,2.41428571428571,0.840449601255171,65.838,"2.37953","21.225",19,61.3714107977567,46,838.838464269542
"United Kingdom",1.46708219711726,3.7677816224529,3.03103180760279,3.4736234116288,2.45920745920746,2.97931034482759,2.99919646444355,2.34612310151878,3.11462450592885,1.84241245136187,2.10792778649922,2.31489361702128,2.78996138996139,2.76510604241697,1.95765345765346,1.87490165224233,1.98108747044917,2.4756446991404,2.88048780487805,2.58457907159717,2.27342487883683,2.54988308651598,2.74789241268567,2.88608137044968,2.89388560157791,2.35579293344289,2.61490424646128,2.32458233890215,2.56751740139211,2.71754084264832,2.36798143851508,2.87540716612378,2.48997668997669,42.6625353740311,81.4048780487805,"13.324524","83.652",93,3242.80239346963,79,2223.28882269706
"Greece",1.08417508417508,3.90742285237698,2.70125523012552,3.06281407035176,1.71428571428571,1.93019197207679,1.91938250428816,2.82244556113903,3.07438715131023,1.81281618887015,1.75902602854744,1.84553571428571,2.83668341708543,2.59813874788494,1.653683319221,1.56477561388654,1.70448772226926,2.35234899328859,3.06089193825043,2.45836909871245,2.19174548581255,1.90058972198821,2.38183421516755,2.42649727767695,2.46456692913386,1.98315080033698,2.08892763731473,1.47099567099567,2.20173745173745,1.95322153574581,1.71901608325449,2.453095684803,2.0695468914647,19.1438876174584,81.6390243902439,"11.119973","79.388",87,3335.50111974592,74,1859.99252864838
"Guatemala",1.17982099267697,3.70665571076417,2.44509151414309,2.78577336641853,1.83291976840364,2.3322203672788,2.12541528239203,3.08299430431245,2.0406834825061,2.01627339300244,2.03742880390561,1.82424735557364,1.87713588283157,1.82994304312449,1.68022782750203,1.59153783563873,1.62815296989422,1.6419853539463,2.55004068348251,1.73555736371033,2.00406834825061,2.17168429617575,2.26851098454028,2.2839707078926,2.32546786004882,1.69080553295362,2.06427990235964,1.92839707078926,1.93978844589097,1.89259560618389,2.02929210740439,2.24165988608625,2.07648494711147,4.64780754129437,73.129,"5.6813","51.439",53,1152.329264059,50,2845.72045250596
"Indonesia",1.051891216005,3.63863707408565,2.64853033145716,2.5,1.59036898061288,2.12354970210097,1.85241248817408,3.84208880550344,3.35017257609037,2.51335218347471,2.55579937304075,2.52798209146146,2.87425711604629,2.987743557511,3.14505494505495,2.23410313192028,2.53173350173666,2.95551378446115,3.19016083254494,2.95361955499843,2.67583807716635,3.16902293433867,3.06051055783171,3.04317680428616,3.24624060150376,2.69758198078834,2.87304177545692,2.86776315789474,2.70698747528016,2.51693404634581,2.96172880237545,3.19342359767892,2.84430546412113,4.15122755440796,70.518,"8.359275","55.985",62,583.006240851701,75,3733.92286797125
